zone_id,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
33,104.0,4.0,7.0,1.0,1.0,1.0,0.0,4.0,7.0,3.0,1.0,1.0,7.0,7.0,10.0,7.0,7.0,6.0,4.0,1.0,3.0,8.0,6.0,4.0,4.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0
36,21.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
37,32.0,4.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,4.0,2.0
40,53.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,8.0,1.0,0.0,5.0,2.0,1.0,4.0,2.0,3.0,5.0
41,1084.0,34.0,15.0,20.0,20.0,13.0,15.0,28.0,34.0,29.0,32.0,39.0,46.0,62.0,57.0,77.0,65.0,71.0,69.0,61.0,58.0,64.0,69.0,53.0,53.0
42,522.0,12.0,13.0,12.0,8.0,5.0,7.0,13.0,7.0,13.0,12.0,12.0,12.0,16.0,16.0,23.0,43.0,39.0,42.0,44.0,42.0,41.0,30.0,29.0,31.0
43,2414.0,35.0,5.0,2.0,3.0,7.0,6.0,22.0,30.0,67.0,65.0,138.0,123.0,187.0,204.0,240.0,240.0,222.0,135.0,96.0,155.0,146.0,133.0,105.0,48.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,351.0,23.0,16.0,8.0,5.0,1.0,3.0,4.0,4.0,2.0,8.0,11.0,13.0,23.0,19.0,29.0,27.0,25.0,17.0,31.0,23.0,17.0,16.0,8.0,18.0
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0
48,5867.0,304.0,249.0,172.0,181.0,145.0,93.0,134.0,165.0,197.0,176.0,260.0,316.0,306.0,319.0,308.0,308.0,279.0,255.0,238.0,274.0,337.0,282.0,340.0,229.0
49,39.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,1.0,6.0,6.0,2.0,1.0
50,1457.0,59.0,53.0,51.0,47.0,19.0,19.0,44.0,44.0,64.0,59.0,50.0,85.0,71.0,73.0,79.0,89.0,94.0,53.0,75.0,90.0,55.0,90.0,49.0,45.0
