zone_id,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0
33,297.0,9.0,11.0,9.0,3.0,5.0,1.0,1.0,7.0,0.0,12.0,9.0,12.0,11.0,11.0,31.0,14.0,17.0,14.0,19.0,11.0,27.0,28.0,23.0,12.0
34,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
35,49.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0
36,128.0,18.0,18.0,12.0,9.0,16.0,6.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,7.0,2.0,3.0,5.0,3.0,7.0
37,201.0,13.0,13.0,20.0,18.0,32.0,8.0,1.0,4.0,0.0,4.0,2.0,4.0,1.0,5.0,6.0,9.0,5.0,4.0,8.0,5.0,3.0,10.0,8.0,18.0
38,20.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
39,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,0.0
40,114.0,5.0,10.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,7.0,6.0,7.0,2.0,3.0,8.0,8.0,3.0,6.0,5.0,8.0,7.0
41,1446.0,59.0,53.0,34.0,28.0,26.0,9.0,12.0,16.0,30.0,45.0,46.0,66.0,86.0,77.0,83.0,84.0,105.0,98.0,85.0,74.0,83.0,96.0,81.0,70.0
42,1077.0,50.0,37.0,40.0,45.0,29.0,14.0,10.0,10.0,21.0,24.0,25.0,21.0,33.0,41.0,48.0,89.0,75.0,57.0,77.0,70.0,76.0,58.0,56.0,71.0
43,1979.0,36.0,18.0,11.0,12.0,16.0,13.0,40.0,71.0,84.0,95.0,92.0,84.0,108.0,149.0,151.0,197.0,172.0,104.0,73.0,125.0,108.0,107.0,77.0,36.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,516.0,21.0,19.0,16.0,14.0,9.0,4.0,5.0,3.0,9.0,9.0,12.0,32.0,46.0,35.0,32.0,31.0,37.0,42.0,38.0,27.0,16.0,24.0,20.0,15.0
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,31.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,2.0,3.0,3.0
48,5735.0,265.0,194.0,162.0,135.0,95.0,59.0,82.0,183.0,232.0,220.0,287.0,251.0,255.0,264.0,268.0,319.0,259.0,260.0,288.0,281.0,341.0,360.0,380.0,295.0
49,195.0,13.0,14.0,11.0,12.0,9.0,3.0,2.0,0.0,0.0,2.0,3.0,5.0,5.0,12.0,11.0,11.0,8.0,5.0,10.0,4.0,12.0,9.0,16.0,18.0
50,1889.0,82.0,88.0,57.0,52.0,30.0,20.0,20.0,34.0,36.0,36.0,61.0,94.0,73.0,94.0,96.0,98.0,116.0,90.0,104.0,122.0,108.0,159.0,136.0,83.0
51,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0
